Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(Australasia),Release date(Europe)
007 Legends,First-person shooter,Eurocom,Activision,Unreleased,"December 11, 2012",Unreleased,"December 7, 2012"
1001 Spikes,Platformpuzzle,8bits Fanatics,Nicalis,"November 25, 2015","June 3, 2014",Unreleased,"October 1, 2015"
140,Platform,Double Fine Productions,Abstraction Games,Unreleased,"September 1, 2016",Unreleased,"September 1, 2016"
153 Hand Video Poker,Simulation,Skunk Software,Skunk Software,Unreleased,"June 2, 2016",Unreleased,Unreleased
3Souls,Puzzle platformer,Red Column,Red Column,Unreleased,"July 28, 2016","July 28, 2016","July 28, 2016"
6-Hand Video Poker,Puzzlestrategy,Skunk Software,Skunk Software,Unreleased,"March 31, 2016",Unreleased,Unreleased
6180 the moon,Platform,Turtle Cream,Turtle Cream,"July 6, 2016","February 25, 2016",Unreleased,"February 25, 2016"
8Bit Hero,Actionadventure,Sean Garland,Righteous Weasel,Unreleased,"May 12, 2016",Unreleased,Unreleased
99Moves,Action,EnjoyUp Games,EnjoyUp Games,"October 21, 2015","December 18, 2014",Unreleased,"December 18, 2014"
99Seconds,Action,EnjoyUp Games,EnjoyUp Games,"June 3, 2015","October 2, 2014",Unreleased,"October 2, 2014"
Absolutely Unstoppable MineRun,Adventure,Shy Egg,Shy Egg,Unreleased,"April 27, 2017",Unreleased,"April 13, 2017"
Abyss,Adventure,EnjoyUp Games,EnjoyUp Games,"January 7, 2015","May 1, 2014",Unreleased,"May 8, 2014"
Ace: Alien Cleanup Elite,Actionarcadefirst-person shooterfighting,Matthew Flewelling,Nitrolic Games,Unreleased,"March 16, 2017",Unreleased,"March 16, 2017"
Ace of Seafood,Action,Nussoft,Nussoft,"November 30, 2016",Unreleased,Unreleased,Unreleased
Act It Out! A Game of Charades,Party,Snap Finger Click,Snap Finger Click,Unreleased,"October 10, 2016",Unreleased,"October 6, 2016"
Adventure Party: Cats and Caverns,Party,E-Regular Games,E-Regular Games,Unreleased,"August 18, 2016",Unreleased,Unreleased
Adventure Time: Explore the Dungeon Because I Don't Know!,Action-adventure,WayForward Technologies,NA: D3 PublisherPAL: Bandai Namco Games,Unreleased,"November 19, 2013","December 12, 2013","December 13, 2013"
Adventure Time: Finn & Jake Investigations,Action-adventurerole-playing,Vicious Cycle Software,Little Orbit,Unreleased,"October 20, 2015",Unreleased,"November 6, 2015"
Adventures of Pip,Platform,Tic Toc Games,Tic Toc Games,Unreleased,"June 4, 2015",Unreleased,"January 21, 2016"
Aenigma Os,Puzzle,Akies Games,Akies Games,Unreleased,"September 15, 2016",Unreleased,"September 15, 2016"
Affordable Space Adventures,Adventurepuzzle,Knapnok Games,NifflasKnapnok Games,"November 18, 2015","April 9, 2015","April 9, 2015","April 9, 2015"
Alice in Wonderland,Visual Novel,Brave Rock Games,Brave Rock Games,Unreleased,"September 1, 2016",Unreleased,"September 8, 2016"
Alphadia Genesis,Japanese role-playing,Kemco,Natsume,"April 2, 2014","November 20, 2014","February 5, 2015","February 5, 2015"
The Amazing Spider-Man: Ultimate Edition,Action-adventure,Beenox,Activision,Unreleased,"March 5, 2013",Unreleased,"March 8, 2013"
The Amazing Spider-Man 2,Action-adventure,Beenox,Activision,Unreleased,"April 29, 2014","May 7, 2014","May 2, 2014"
Angry Birds Star Wars,Puzzle,Rovio EntertainmentExient Entertainment,ActivisionLucasArts,Unreleased,"October 29, 2013",Unreleased,"November 1, 2016"
Angry Birds Trilogy,Puzzle,Rovio EntertainmentFun Labs,Activision,Unreleased,"August 13, 2013",Unreleased,"August 16, 2013"
Angry Bunnies: Colossal Carrot Crusade,Puzzle,Cypronia,Cypronia,Unreleased,"September 25, 2014",Unreleased,"September 25, 2014"
Angry Video Game Nerd Adventures,Platform,FreakZone,ScrewAttack Games,Unreleased,"April 2, 2015",Unreleased,"December 10, 2015"
Animal Crossing: Amiibo Festival,Party,Nintendo EPDNDcube,Nintendo,"November 21, 2015","November 13, 2015","November 21, 2015","November 20, 2015"
Animal Gods,Puzzlesplatform,Still Games,Still Games,Unreleased,"April 6, 2017",Unreleased,Unreleased
Annihilation,Arcadefirst-person shooter,TreeFall Studios,TreeFall Studios,Unreleased,"August 31, 2017",Unreleased,"November 9, 2017"
Another World: 20th Anniversary Edition,Platformaction-adventure,Delphine Software International,Digital Lounge,"January 21, 2015","June 19, 2014",Unreleased,"June 19, 2014"
Aperion Cyberstorm,Twin-stick shooter,aPriori Digital,aPriori Digital,Unreleased,"February 8, 2018",Unreleased,"February 8, 2018"
Aqua Moto Racing Utopia,Simulation,Zordix,Zordix,Unreleased,"April 19, 2018","April 19, 2018","April 19, 2018"
Aqua TV,Lifestyle,Extra Miles Studio,Extra Miles Studio,Unreleased,"March 23, 2017",Unreleased,"November 17, 2016"
Arc Style: Baseball! SP,Sports,Arc System Works,Arc System Works,"September 18, 2013",Unreleased,Unreleased,Unreleased
Archery by Thornbury Software,Sports,Thornbury Software,Thornbury Software,Unreleased,"September 29, 2016",Unreleased,Unreleased
Ark Rush,platform,Nintendo,Nintendo,"June 24, 2015",Unreleased,Unreleased,Unreleased
Armikrog,Point-and-click adventure,Pencil Test Studios,Versus Evil,Unreleased,"August 18, 2016",Unreleased,"August 25, 2016"
Armillo,Puzzleplatform,Fuzzy Wuzzy Games,Fuzzy Wuzzy Games,"October 29, 2014","July 3, 2014",Unreleased,"July 3, 2014"
Armored Acorns: Action Squirrel Squad,Actionadventurearcadefighting,Nexcra Software,Nexcra,Unreleased,"March 23, 2017",Unreleased,"June 1, 2017"
Arrow Time U,Puzzle,XenoHorizon,XenoHorizon,Unreleased,"September 18, 2014",Unreleased,Unreleased
Art of Balance,Puzzlestrategy,Shin'en Multimedia,Shin'en Multimedia,"October 29, 2014","October 9, 2014","December 18, 2014","September 25, 2014"
Ascent of Kings,Action-adventureplatformer,Nostatic Software,Nostatic Software,Unreleased,"October 22, 2015",Unreleased,"December 17, 2015"
Asdivine Hearts,Role-playing,Kemco,Kemco,"January 13, 2016","April 14, 2016",Unreleased,"April 7, 2016"
Assassin's Creed III,Action-adventurestealth,Ubisoft MontrealUbisoft Quebec,Ubisoft,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Assassin's Creed IV: Black Flag,Action-adventurestealth,Ubisoft MontrealUbisoft Quebec,Ubisoft,"November 28, 2013","October 29, 2013","November 21, 2013","November 22, 2013"
Asteroid Quarry,Action-adventure,Hero Work Games,Hero Work Games,Unreleased,"July 9, 2015",Unreleased,Unreleased
Astral Breakers,Puzzle,Intropy Games,Intropy Games,"March 23, 2016","August 6, 2015",Unreleased,Unreleased
Ava and Avior Save the Earth,Educationadventurepuzzle,2020 Venture,2020 Venture,Unreleased,"April 24, 2014",Unreleased,Unreleased
Avoider,Arcadestrategy,RCMADIAX,RCMADIAX,Unreleased,"January 7, 2016",Unreleased,Unreleased
Axiom Verge,Metroidvania,Tom Happ Games,Tom Happ Games,Unreleased,"September 1, 2016",Unreleased,"September 1, 2016"
Azure Snake,Arcade,RandomSpin,RandomSpin,Unreleased,"January 24, 2019",Unreleased,"January 10, 2019"
B3 Game Expo for Bees,Actionshooter,Famous Gamous,Famous Gamous,Unreleased,"June 2, 2016",Unreleased,"June 9, 2016"
Back to Bed,Puzzle,Bedtime Digital Games,Bedtime Digital Games,"March 29, 2017","February 16, 2017",Unreleased,"December 22, 2016"
Badland: Game of the Year Edition,Action,Frogmind,Frogmind,Unreleased,"July 30, 2015",Unreleased,"July 30, 2015"
Baila Latino,Musicfitnesslifestyle,O2 Games,O2 Games,Unreleased,"May 28, 2015",Unreleased,"May 21, 2015"
Ballpoint Universe: Infinite,Action-adventureshoot 'em up,Arachnid Games,JP: Unity GamesNA: Arachnid Games,"October 15, 2014","October 16, 2014",Unreleased,Unreleased
Barbie and her Sisters: Puppy Rescue,Action-adventure,Little Orbit,Little Orbit,Unreleased,"November 3, 2015",Unreleased,"November 19, 2015"
Barbie: Dreamhouse Party,Party,Torus Games,NA: Little OrbitEU: Namco Bandai Games,Unreleased,"November 19, 2013",Unreleased,"November 22, 2013"
Batman: Arkham City – Armored Edition,Action-adventure,Rocksteady StudiosWB Games Montréal,JP: Square EnixWW: Warner Bros. Interactive Entertainment,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Batman: Arkham Origins,Action-adventure,WB Games Montréal,Warner Bros. Interactive Entertainment,"October 25, 2013","October 25, 2013","November 6, 2013","November 8, 2013"
Batman: Arkham Origins Blackgate – Deluxe Edition,Action-adventure,Armature Studio,Warner Bros. Interactive Entertainment,Unreleased,"April 1, 2014",Unreleased,"April 10, 2014"
Bayonetta,Actionhack and slash,Platinum Games,Nintendo,"September 20, 2014","October 24, 2014","October 25, 2014","October 24, 2014"
Bayonetta 2,Actionhack and slash,Platinum Games,Nintendo,"September 20, 2014","October 24, 2014","October 25, 2014","October 24, 2014"
Beatbuddy: Tale of the Guardians,Platformmusic,Threaks,Threaks,Unreleased,"September 24, 2015",Unreleased,"August 5, 2015"
The Beggar's Ride,Adventureplatformerpuzzle,Bad Seed,Bad Seed,Unreleased,"May 5, 2016",Unreleased,"March 31, 2016"
Ben 10: Omniverse,Beat 'em upfighting,Vicious Cycle Software,D3 Publisher,Unreleased,"November 18, 2012","November 30, 2012","November 30, 2012"
Ben 10: Omniverse 2,Beat 'em upfighting,High Voltage Software,D3 Publisher,Unreleased,"November 5, 2013","November 28, 2013","November 22, 2013"
Bigley's Revenge,Actionadventure,Ninja Pig Studios,Ninja Pig Studios,Unreleased,"January 7, 2016",Unreleased,Unreleased
The Binding of Isaac: Rebirth,Roguelike,Nicalis,Nicalis,"October 28, 2015","July 23, 2015","October 29, 2015","October 29, 2015"
Bird Mania Party,Party,Teyon,Teyon,"February 17, 2016","March 17, 2016",Unreleased,"March 10, 2016"
Bit Dungeon Plus,Actionadventure,KintoGames,KintoGames,"December 20, 2017","October 13, 2016",Unreleased,"July 5, 2016"
Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien,Platform,Gaijin Games,Gaijin Games,"September 30, 2015","February 26, 2013","April 11, 2013","April 11, 2013"
Blackjack 21,Simulation,Skunk Software,Skunk Software,Unreleased,"June 23, 2016",Unreleased,Unreleased
Blasting Agent: Ultimate Edition,First-person shooteraction,Super Icon,Super Icon,Unreleased,"August 18, 2016",Unreleased,"August 18, 2016"
Blek,Puzzle,Kunabi Brother,Broken Rules Games,Unreleased,"February 12, 2015",Unreleased,"February 12, 2015"
Bloc,Actionadventure,Calvin ThamPerry Berkum,Cragworks,Unreleased,"July 28, 2016",Unreleased,"June 29, 2017"
Blockara,Puzzlesstrategy,Haunted Bees ProductionsSean Finch,Haunted Bees Productions,Unreleased,"April 21, 2016",Unreleased,Unreleased
Block Zombies!,Actionadventurefirst-person shooter,Nostatic Software,Nostatic Software,Unreleased,"May 25, 2017",Unreleased,"June 8, 2017"
Blocky Bot,Platform,Mobot Studios,Mobot Studios,Unreleased,"May 21, 2015",Unreleased,"July 23, 2015"
Blok Drop U,Puzzle,RCMADIAX,RCMADIAX,"June 29, 2016","March 6, 2014",Unreleased,"June 26, 2014"
Blok Drop X: Twisted Fusion,Puzzle,RCMADIAX,RCMADIAX,Unreleased,"December 18, 2014",Unreleased,"March 5, 2015"
Blue-Collar Astronaut,Simulationstrategy,Mutated Software,Mutated Software,Unreleased,"March 14, 2017",Unreleased,Unreleased
Bombing Bastards,Action,Sanuk Games,Sanuk Games,Unreleased,"July 3, 2014",Unreleased,"July 31, 2014"
The Book of Unwritten Tales 2,Actionadventure,King Art,Nordic Games,Unreleased,"June 7, 2016","September 22, 2016","June 7, 2016"
Booty Diver,Puzzle,Xavier Orion Games,Xavier Orion Games,Unreleased,"April 20, 2017",Unreleased,Unreleased
Box Up,Arcade,RCMADIAX,RCMADIAX,Unreleased,"July 13, 2017","July 20, 2017","July 20, 2017"
Brave Tank Hero,Action,Arc System Works,Natsume,Unreleased,"August 27, 2015",Unreleased,"September 24, 2015"
Breakout Defense,Puzzle,nuGame,nuGame,Unreleased,"December 15, 2016",Unreleased,"December 15, 2016"
Breakout Defense 2,Puzzle,nuGame,nuGame,Unreleased,"November 23, 2017",Unreleased,"January 11, 2018"
Breezeblox,Puzzle,Pugsley,Pugsley,Unreleased,"January 22, 2015",Unreleased,Unreleased
BrickBlast U!,Puzzle,Nexis Games,Nexis Games,Unreleased,"June 26, 2014",Unreleased,Unreleased
Brick Breaker,Arcadepuzzle,DrinkBox Studios,DrinkBox Studios,Unreleased,"September 15, 2016",Unreleased,"September 15, 2016"
Brick Race,Puzzles,RCMADIAX,RCMADIAX,Unreleased,"February 9, 2017","February 2, 2017","February 2, 2017"
The Bridge,Puzzleart,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,Unreleased,"August 20, 2015","August 20, 2015","August 20, 2015"
Bridge Constructor Playground,Puzzlesimulation,Joindots,Joindots,Unreleased,"December 8, 2016",Unreleased,"December 8, 2016"
Brunswick Pro Bowling,Sports,Alliance Digital Media,Alliance Digital Media,Unreleased,"January 21, 2016",Unreleased,Unreleased
Bubble Gum Popper,Puzzle,Skunk Software,Skunk Software,Unreleased,"April 2, 2015",Unreleased,Unreleased
Buddy & Me: Dream Edition,Endless runner,Sunbreak Games,Sunbreak Games,Unreleased,"July 21, 2016",Unreleased,"July 21, 2016"
Buta Medal,Puzzle,Nintendo,Nintendo,"July 22, 2014",Unreleased,Unreleased,Unreleased
Cabela's Big Game Hunter: Pro Hunts,First-person shooter,Cauldron,Activision,Unreleased,"March 25, 2014",Unreleased,Unreleased
Cabela's Dangerous Hunts 2013,First-person shooter,Cauldron,Activision,Unreleased,"December 4, 2012",Unreleased,"December 4, 2012"
Cake Ninja 3: The Legend Continues,Arcade,Cypronia,Cypronia,Unreleased,"December 18, 2014",Unreleased,"December 4, 2014"
Call of Duty: Black Ops II,First-person shooter,Treyarch,JP: Square EnixWW: Activision,"December 20, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Call of Duty: Ghosts,First-person shooter,Infinity WardTreyarch,JP: Square EnixWW: Activision,"November 14, 2013","November 5, 2013","November 5, 2013","November 5, 2013"
Call of Nightmare,Survival horror,Nightmare Games,RandomSpin,Unreleased,"December 6, 2018",Unreleased,Unreleased
Candy Hoarder,Puzzle,Nitrolic Games,Nitrolic Games,Unreleased,"March 9, 2017",Unreleased,"March 9, 2017"
Canvaleon,Platformstealth,OXiAB Game Studio,OXiAB Game Studio,Unreleased,"July 23, 2015",Unreleased,"July 23, 2015"
Captain Toad: Treasure Tracker,Platformpuzzle,Nintendo EAD,Nintendo,"November 13, 2014","December 5, 2014","January 3, 2015","January 2, 2015"
Cars 3: Driven to Win,Racing,Avalanche Software,Warner Bros. Interactive Entertainment,Unreleased,"June 13, 2017","June 14, 2017","July 14, 2017"
CastleStorm,Puzzlestrategy,Zen Studios,Zen Studios,Unreleased,"December 26, 2013","December 26, 2013","December 26, 2013"
The Cave,Platformpuzzleadventure,Double Fine Productions,Sega,"August 28, 2013","January 22, 2013","January 24, 2013","January 24, 2013"
Chariot,Puzzleplatform,Frima Studio,Frima Studio,"March 25, 2015","January 8, 2015","January 8, 2015","January 8, 2015"
ChariSou Ultra DX: Sekai Tour,Action,Spicysoft,Spicysoft,"August 5, 2015",Unreleased,Unreleased,"November 5, 2015"
Chasing Aurora,Actionmultiplayer,Broken Rules,Broken Rules,Unreleased,"November 18, 2012",Unreleased,"November 30, 2012"
Chasing Dead,First-person shooter,2020 Venture,2020 Venture,Unreleased,"March 3, 2016",Unreleased,"March 3, 2016"
Chests o' Booty,Puzzlestrategy,Wildmane Studios,Wildmane Studios,Unreleased,"October 16, 2014",Unreleased,Unreleased
Child of Light,Platformerrole-playing,Ubisoft Montreal,Ubisoft,"April 30, 2014","April 29, 2014","May 1, 2014","May 1, 2014"
Chimpuzzle Pro,Puzzle,CW-Games,CW-Games,Unreleased,Unreleased,Unreleased,"September 18, 2014"
Chompy Chomp Chomp Party,Party,Utopian World of Sandwiches,Utopian World of Sandwiches,Unreleased,"May 19, 2016",Unreleased,"March 31, 2016"
Christmas Adventure of Rocket Penguin,Action,Petite Games,Petite Games,Unreleased,"November 5, 2015",Unreleased,Unreleased
Chroma Blast,Arcade,WizByte Games,WizByte Games,Unreleased,"July 14, 2016",Unreleased,Unreleased
Chronicles of Teddy: Harmony of Exidus,Actionadventure,Aksys Games,LookAtMyGame,"February 14, 2018","March 31, 2016","April 8, 2016","April 7, 2016"
Chubbins,Platform,Dahku Creations,Dahku Creations,Unreleased,"June 5, 2014",Unreleased,Unreleased
Citadale: Gate of Souls,Actionadventurerole-playing,Nitrolic Games,Nitrolic Games,Unreleased,"November 24, 2016",Unreleased,"August 18, 2016"
Citadale: The Legends Trilogy,Actionadventurerole-playingstrategy,Nitrolic Games,Nitrolic Games,Unreleased,"May 4, 2017",Unreleased,"May 4, 2017"
Citizens of Earth,Role-playing,Eden Industries,Atlus,Unreleased,"January 22, 2015",Unreleased,"January 22, 2015"
Cloudberry Kingdom,Platform,Pwnee Studios,Ubisoft,"March 26, 2014","August 1, 2013",Unreleased,"August 1, 2013"
Coaster Crazy Deluxe,Simulation,Frontier Developments,Frontier Developments,Unreleased,"November 21, 2013",Unreleased,"November 21, 2013"
Cocoto Magic Circus 2,First-person shooter,Neko Entertainment,JP: Rainy FrogWW: Bigben Interactive,"July 2, 2014","January 9, 2014",Unreleased,"December 26, 2013"
Collateral Thinking,Actionadventure,Astrosaurus Games,Astrosaurus Games,Unreleased,"August 18, 2016",Unreleased,"August 18, 2016"
Color Bombs,Action,RCMADIAX,RCMADIAX,Unreleased,"October 22, 2015","April 14, 2016","April 14, 2016"
Color Cubes,Puzzle,RCMADIAX,RCMADIAX,Unreleased,"February 16, 2017","February 2, 2017","February 2, 2017"
Color Symphony 2,Actionadventure,Remimory,Remimory,Unreleased,"May 12, 2016",Unreleased,"May 12, 2016"
Color Zen,Puzzle,Cypronia,Cypronia,Unreleased,"May 15, 2014",Unreleased,"May 22, 2014"
Color Zen Kids,Puzzle,Cypronia,Cypronia,Unreleased,"June 19, 2014",Unreleased,"June 19, 2014"
Coqui The Game,Actionadventure,Alberto Roman,Team One,Unreleased,"June 1, 2017",Unreleased,Unreleased
Cosmophony,Rhythm,Bento Studios,Moving Player,Unreleased,"October 30, 2014",Unreleased,"October 30, 2014"
Costume Quest 2,Adventurerole-playing,Double Fine Productions,Midnight City,Unreleased,"October 31, 2014","October 31, 2014","October 31, 2014"
Crab Cakes Rescue,Puzzle,Mission Critical Studios,Maximum Games,Unreleased,"August 20, 2015",Unreleased,Unreleased
The Croods: Prehistoric Party!,Party,Torus Games,D3 Publisher,Unreleased,"March 19, 2013","April 11, 2013","March 19, 2013"
Crush Insects,Arcade,"38,9_Degrees",RandomSpin,Unreleased,"November 22, 2018",Unreleased,Unreleased
Crystorld,Actionpuzzle,Toyuro,Toyuro,Unreleased,"March 12, 2020",Unreleased,Unreleased
Cube Blitz,Puzzle,Wildcard Studios,Wildcard Studios,Unreleased,"June 4, 2015",Unreleased,Unreleased
Cube Life: Island Survival,Sandbox,Cypronia,Cypronia,"February 3, 2016","June 4, 2015",Unreleased,"June 25, 2015"
Cube Life: Pixel Action Heroes,First-person shooteraction,Cypronia,Cypronia,"August 9, 2017","March 30, 2017",Unreleased,"March 30, 2017"
Cubemen 2,Real-time strategytower defense,3 Sprockets,Nnooo,Unreleased,"September 4, 2014","September 4, 2014","September 4, 2014"
Cubeshift,Arcadepuzzles,Jace Voracek,Jace Voracek,Unreleased,"July 27, 2017",Unreleased,Unreleased
Cubit The Hardcore Platformer Robot HD,Actionarcadeplatformer,CoderChild,CoderChild,Unreleased,"June 8, 2017",Unreleased,"June 8, 2017"
Cup Critters,Puzzlestrategy,RCMADIAX,JP: CosenWW: RCMADIAX,"April 12, 2017","January 5, 2017","January 5, 2017","January 5, 2017"
Cutie Clash,Actionadventure,Yazar Media Group,Yazar Media Group,Unreleased,"February 11, 2016",Unreleased,Unreleased
Cutie Pets Go Fishing,Puzzlestrategy,Yazar Media Group,Yazar Media Group,Unreleased,"February 11, 2016",Unreleased,Unreleased
Cutie Pets Jump Rope,Sports,Yazar Media Group,Yazar Media Group,Unreleased,"November 26, 2015",Unreleased,Unreleased
Cutie Pets Pick Berries,Puzzle,Yazar Media Group,Yazar Media Group,Unreleased,"October 22, 2015",Unreleased,Unreleased
Cycle of Eternity: Space Anomaly,Turn-based strategy,RandomSpin,RandomSpin,Unreleased,"May 24, 2018",Unreleased,"May 10, 2018"
D.M.L.C. Death Match Love Comedy,Dating sim,Kemco,Kemco,"April 9, 2014",Unreleased,Unreleased,Unreleased
Daikon Set,Actionarcadestrategy,Butterfly,Batafurai,Unreleased,"June 22, 2017",Unreleased,Unreleased
Dare Up Adrenaline,Sports,Be Studios,Be Studios,Unreleased,"July 9, 2015",Unreleased,Unreleased
Darksiders II,Action role-playinghack and slash,Vigil Games,THQ,Unreleased,"November 18, 2012","November 30, 2012","November 30, 2012"
Darksiders: Warmastered Edition,Action role-playinghack and slash,Nordic Games,Nordic Games,Unreleased,"May 23, 2017","May 23, 2017","May 23, 2017"
Darts Up,Sports,EnjoyUp Games,EnjoyUp Games,"September 30, 2015","September 25, 2014",Unreleased,"September 18, 2014"
A Day at the Carnival,Party,Thornbury Software,Thornbury Software,Unreleased,"July 6, 2017",Unreleased,Unreleased
The Deer God,Platform,Crescent Moon Games,Mobot Studios,Unreleased,"April 28, 2016",Unreleased,Unreleased
Defend Your Crypt,Strategy,Ratalaika Games,Ratalaika Games,Unreleased,"July 21, 2016",Unreleased,"July 21, 2016"
Defense Dome,Action,HullBreach Studios,HullBreach Studios,Unreleased,"September 17, 2015",Unreleased,"February 25, 2016"
Demonic Karma Summoner,Adventure,Gnob Software,Gnob Software,Unreleased,"October 27, 2016",Unreleased,Unreleased
Deus Ex: Human Revolution – Director's Cut,Action role-playingfirst-person shooterstealth,Eidos Montréal,Square Enix,Unreleased,"October 22, 2013","October 24, 2013","October 25, 2013"
Devil's Third,First-person shooterhack and slash,Valhalla Game StudiosNintendo SPD,Nintendo,"August 4, 2015","December 11, 2015","August 29, 2015","August 28, 2015"
Dinox,Edutainment,Engine Software,Engine Software,Unreleased,"December 10, 2015",Unreleased,"December 10, 2015"
Discovery,Actionadventure,Noowanda,Noowanda,"August 31, 2016","January 7, 2016",Unreleased,"February 11, 2016"
Disney Epic Mickey 2: The Power of Two,Platform,Junction Point StudiosBlitz Games StudiosHeavy Iron Studios,JP: Spike ChunsoftWW: Disney Interactive Studios,"September 26, 2013","November 18, 2012","December 13, 2012","November 30, 2012"
Disney Infinity,Action-adventure,Avalanche SoftwareHeavy Iron Studios,JP: Bandai Namco GamesWW: Disney Interactive Studios,"November 28, 2013","August 18, 2013","August 22, 2013","August 23, 2013"
Disney Infinity 3.0,Action-adventure,Avalanche Software,Disney Interactive Studios,"November 12, 2015","August 30, 2015","September 3, 2015","August 28, 2015"
Disney Infinity: Marvel Super Heroes,Action-adventure,Avalanche Software,Disney Interactive Studios,Unreleased,"September 23, 2014","September 18, 2014","September 18, 2014"
Disney Planes,Actionadventure,Behaviour Interactive,Disney Interactive Studios,Unreleased,"August 6, 2013","September 5, 2013","August 16, 2013"
Disney Planes: Fire & Rescue,Action,Little Orbit,Disney Interactive Studios,Unreleased,"November 4, 2014",Unreleased,"November 7, 2014"
Disney's DuckTales: Remastered,Platform,WayForward Technologies,Capcom,Unreleased,"August 13, 2013","August 15, 2013","August 15, 2013"
Dodge Club Party,Party,James MontagnaGeorge Mathews,James Montagna,Unreleased,"April 14, 2016",Unreleased,Unreleased
DokiDoki Tegami Relay,Party,Nintendo,Nintendo,"June 24, 2015",Unreleased,Unreleased,Unreleased
Dolphin Up,Sportsracing,Rawkins Games,Rawkins Games,Unreleased,"February 5, 2015",Unreleased,Unreleased
Don't Crash,Racing,RCMADIAX,RCMADIAX,Unreleased,"July 9, 2015",Unreleased,Unreleased
Don't Starve: Giant Edition,Action-adventuresurvival horror,Klei Entertainment,Klei Entertainment,Unreleased,"May 28, 2015",Unreleased,"June 4, 2015"
Don't Touch Anything Red,Party,Helix Games,Helix Games,Unreleased,"March 12, 2015",Unreleased,Unreleased
Donkey Kong Country: Tropical Freeze,Platform,Retro Studios,Nintendo,"February 13, 2014","February 21, 2014","February 22, 2014","February 21, 2014"
Dot Arcade,Arcade,James Montagna,James Montagna,Unreleased,"March 26, 2015",Unreleased,Unreleased
Double Breakout,Action,DrinkBox Studios,DrinkBox Studios,Unreleased,"September 22, 2016",Unreleased,"September 22, 2016"
Double Breakout II,Action,nuGAME,nuGAME,Unreleased,"March 16, 2017",Unreleased,"March 16, 2017"
Dr. Luigi,Puzzle,ArikaNintendo SPD,Nintendo,"January 15, 2014","December 31, 2013","January 15, 2014","January 15, 2014"
Dracula's Legacy,Adventurepuzzle,Joindots,Joindots,Unreleased,"July 28, 2016",Unreleased,"July 14, 2016"
Dragon Fantasy: The Black Tome of Ice,Role-playing,The Muteki Corporation,Choice Provisions,Unreleased,"May 26, 2016",Unreleased,Unreleased
Dragon Fantasy: The Volumes of Westeria,Role-playing,The Muteki Corporation,Choice Provisions,Unreleased,"July 23, 2015",Unreleased,Unreleased
Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,Massively multiplayer online role-playing game,Square EnixArmor Project,Square Enix,"November 16, 2017",Unreleased,Unreleased,Unreleased
