Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(Australasia),Release date(Europe)
Shovel Knight,"Action, platform",Yacht Club Games,JP: NintendoWW: Yacht Club Games,"June 30, 2016","June 26, 2014","November 5, 2014","November 5, 2014"
Shut the Box,"Puzzle, strategy",RCMADIAX,RCMADIAX,"April 28, 2015","August 7, 2014",Unreleased,Unreleased
Shütshimi,Shoot 'em up,Neon Deity Games,Choice Provisions,Unreleased,"February 4, 2016",Unreleased,"April 28, 2016"
Shuttle Rush,Action platformer,Takusan Works,Takusan Works,Unreleased,"November 6, 2014",Unreleased,Unreleased
Sing Party,Music,FreeStyleGamesNintendo SPD,Nintendo,Unreleased,"November 18, 2012","January 19, 2013","January 18, 2013"
Sinister Assistant,Adventure,Ultra Dolphin Revolution,Ultra Dolphin Revolution,Unreleased,"February 14, 2019",Unreleased,"February 7, 2019"
Six Sides of the World,Puzzle,Dolores Entertainment,Dolores Entertainment,Unreleased,Unreleased,Unreleased,"March 23, 2017"
Skeasy,"Arcade, strategy",RCMADIAX,RCMADIAX,Unreleased,"January 21, 2016",Unreleased,Unreleased
Sketch Wars,Party,Wildcard Studios,Wildcard Studios,Unreleased,"December 10, 2015",Unreleased,Unreleased
Skorb,Adventurestrategyracing,Stereo Chromatic,Stereo Chromatic,Unreleased,"October 6, 2016",Unreleased,Unreleased
Skunky B's Super Slots Saga #1,"Action, adventure",Skunk Software,Skunk Software,Unreleased,"September 1, 2016",Unreleased,Unreleased
Sky Force Anniversary,Arcade,Infinite Dreams,Infinite Dreams,Unreleased,"March 16, 2017",Unreleased,"March 16, 2017"
Skylanders: Giants,Role-playingaction-adventureplatform,Vicarious Visions,Activision,Unreleased,"November 18, 2012","November 30, 2012","November 30, 2012"
Skylanders: Imaginators,Action-adventureplatform,Toys For Bob,Activision,Unreleased,"October 16, 2016","October 13, 2016","October 14, 2016"
Skylanders: Spyro's Adventure,Role-playingaction-adventureplatform,Toys for Bob,Square Enix,"July 12, 2013",Unreleased,Unreleased,Unreleased
Skylanders: SuperChargers,Role-playingaction-adventureplatformracing,Vicarious Visions,Activision,Unreleased,"September 20, 2015","September 23, 2015","September 25, 2015"
Skylanders: Swap Force,"Role-playing, action-adventure, platform",Vicarious Visions,Activision,Unreleased,"October 13, 2013","October 16, 2013","October 18, 2013"
Skylanders: Trap Team,"Role-playing, action-adventure, platform",Beenox,Activision,Unreleased,"October 5, 2014","October 2, 2014","October 10, 2014"
Slender: The Arrival,Survival horror,Blue Isle Studios,Midnight City,Unreleased,"October 22, 2015",Unreleased,"October 29, 2015"
Slots: Pharaoh's Riches,Strategy,Skunk Software,Skunk Software,Unreleased,"April 14, 2016",Unreleased,Unreleased
Smart Adventures Mission Math: Sabotage at the Space Station,"Action, platformer, puzzle",Neko Entertainment,Neko Entertainment,Unreleased,"February 25, 2016",Unreleased,"February 25, 2016"
The Smurfs 2,"Action-adventure, platform","Ubisoft, WayForward Technologies",Ubisoft,Unreleased,"July 23, 2013","July 18, 2013","July 19, 2013"
Snake Den,Arcade,Game Bytes,Game Bytes,Unreleased,"November 20, 2014",Unreleased,Unreleased
Sniper Elite V2,"Tactical shooter, stealth",Rebellion Developments,"505 Games, UbisoftJP","July 18, 2013","May 24, 2013","May 30, 2013","May 21, 2013"
Snowball,Action,CRT Factory,CRT Factory,Unreleased,"January 19, 2017",Unreleased,Unreleased
Solitaire,Puzzles,Sanuk Games,Sanuk Games,Unreleased,"October 27, 2016",Unreleased,"October 27, 2016"
Solitaire Dungeon Escape,Card game,José Varela,José Varela,Unreleased,"June 18, 2015",Unreleased,Unreleased
Sonic & All-Stars Racing Transformed,Racing,Sumo Digital,Sega,"May 15, 2014","November 16, 2012","November 30, 2012","November 30, 2012"
Sonic Boom: Rise of Lyric,Action-adventure,Big Red Button Entertainment,Sega,"December 18, 2014","November 11, 2014","November 29, 2014","November 21, 2014"
Sonic Lost World,"Action-adventure, platform",Sonic Team,"Sega, NintendoEU","October 24, 2013","October 22, 2013","October 19, 2013","October 18, 2013"
Soon Shine,"Action, puzzle",Dahku Creations,Dahku Creations,Unreleased,"August 14, 2014",Unreleased,"August 27, 2015"
Soul Axiom,RPG,Wales Interactive,Wales Interactive,Unreleased,"September 29, 2016",Unreleased,"September 29, 2016"
Space Hulk,Turn-based tactics,Full Control,HR Games,Unreleased,"January 14, 2016",Unreleased,"February 4, 2016"
Space Hunted,Actionarcadeplatformer,Ultra Dolphin Revolution,Ultra Dolphin Revolution,Unreleased,"July 6, 2017",Unreleased,"June 29, 2017"
Space Hunted: The Lost Levels,Actionarcadeplatformer,Ultra Dolphin Revolution,Ultra Dolphin Revolution,Unreleased,"February 13, 2020",Unreleased,"February 13, 2020"
Space Intervention,Arcade,VG && IG,Igor Gafton,Unreleased,"October 17, 2019",Unreleased,"October 24, 2019"
SpaceRoads,"Sports, racing",Wurd Industries,Wurd Industries,Unreleased,"May 5, 2016",Unreleased,Unreleased
Spellcaster's Assistant,Arcade,Ultra Dolphin Revolution,Ultra Dolphin Revolution,Unreleased,"March 29, 2018",Unreleased,"April 12, 2018"
Sphere Slice,"Arcade, fighting, puzzles, strategy",RCMADIAX,RCMADIAX,Unreleased,"June 1, 2017","June 8, 2017","June 8, 2017"
SphereZor,"Action, adventure",James Guard,James Guard,Unreleased,"September 8, 2016",Unreleased,Unreleased
Spheroids,Platformer,Eclipse Games,"Eclipse Games, ShipbuildingJP","March 7, 2018","January 5, 2017","January 5, 2017","January 5, 2017"
Spikey Walls,"Puzzles, strategy",RCMADIAX,RCMADIAX,Unreleased,"September 18, 2014",Unreleased,Unreleased
Spin the Bottle: Bumpie's Party,Party,Redgrim,JP: Rainy FrogWW: KnapNok Games,"February 12, 2014","August 8, 2013",Unreleased,"August 8, 2013"
Splashy Duck,"Action, arcade",RCMADIAX,RCMADIAX,Unreleased,"June 23, 2016","June 23, 2016","June 23, 2016"
Splatoon,Third-person shooter,Nintendo EAD,Nintendo,"May 28, 2015","May 29, 2015","May 30, 2015","May 29, 2015"
SpongeBob SquarePants: Plankton's Robotic Revenge,"Action-adventure, platform, third-person shooter",Behaviour Interactive,Activision,Unreleased,"October 22, 2013",Unreleased,"October 11, 2013"
Sportsball,Sports,Too DX,Too DX,Unreleased,"November 6, 2014",Unreleased,Unreleased
Spot the Differences! Party,Puzzle,Sanuk Games,JP: Rainy FrogWW: Sanuk Games,"January 22, 2014","September 5, 2013",Unreleased,"September 5, 2013"
Spy Chameleon,"Arcade, puzzle",EnjoyUp Games,EnjoyUp Games,Unreleased,"December 25, 2014",Unreleased,"December 25, 2014"
Squids Odyssey,Tactical role-playing,The Game Bakers,The Game Bakers,Unreleased,"May 22, 2014",Unreleased,"May 22, 2014"
Star Fox Guard,Tower defense,Platinum GamesNintendo EPD,Nintendo,"April 21, 2016","April 22, 2016","April 23, 2016","April 22, 2016"
Star Fox Zero,Shooter,Platinum GamesNintendo EPD,Nintendo,"April 21, 2016","April 22, 2016","April 23, 2016","April 22, 2016"
Star Ghost,Shooter,Squarehead Games,Squarehead Games,Unreleased,"March 10, 2016",Unreleased,"March 10, 2016"
Star Sky,Adventure,JMJ Interactive,JP: Rainy FrogWW: JMJ Interactive,"September 9, 2015","September 10, 2015",Unreleased,"September 10, 2015"
Star Sky 2,"Adventure, simulation",Marten Jonsson,JP: Rainy FrogWW: JMJ Interactive,"November 30, 2016","June 23, 2016",Unreleased,"April 14, 2016"
Star Splash: Shattered Star,"Action, arcade",Snails Arcade,Snails Animation,Unreleased,"February 2, 2017",Unreleased,"February 2, 2017"
Star Wars Pinball,Pinball,Zen Studios,Zen Studios,Unreleased,"July 11, 2013",Unreleased,"July 11, 2013"
Starwhal,Party,Breakfall,Breakfall,Unreleased,"September 24, 2015",Unreleased,"October 8, 2015"
Stealth Inc. 2: A Game of Clones,"Platform, stealth",Curve Digital,Curve Digital,Unreleased,"October 30, 2014",Unreleased,"October 30, 2014"
SteamWorld Dig,"Platform, action-adventure",Image & Form,Image & Form,Unreleased,"August 28, 2014","August 28, 2014","August 28, 2014"
SteamWorld Heist,Turn-based strategy,Image & Form,Image & Form,Unreleased,"October 20, 2016","September 30, 2016","September 30, 2016"
Steel Lords,"Action, adventure, fighting",nuGAME,nuGAME,Unreleased,"July 7, 2016",Unreleased,"June 24, 2016"
Steel Rivals,"Action, adventure, fighting",nuGAME,nuGAME,Unreleased,"March 3, 2016",Unreleased,"March 10, 2016"
Stick It to the Man!,Action,Zoink,Ripstone,"October 22, 2014","May 1, 2014",Unreleased,"May 1, 2014"
Stone Shire,Sandbox,Finger Fun Games,Finger Fun Games,Unreleased,"May 21, 2015",Unreleased,"August 27, 2015"
The Stonecutter,Visual novel,Brave Rock Games,Brave Rock Games,Unreleased,"June 4, 2015",Unreleased,"April 13, 2017"
Sudoku and Permudoku,"Puzzles, strategy",Diplodocus Games,Diplodocus Games,Unreleased,"May 5, 2016",Unreleased,"July 7, 2016"
Sudoku Party,"Action, puzzles",Lightwood Games,Lightwood Games,Unreleased,"March 16, 2017",Unreleased,"March 23, 2017"
Super Destronaut,"Action, adventure",Vilmos Gyokeres,Petite Games,Unreleased,"March 19, 2015",Unreleased,Unreleased
Super Destronaut 2: Go Duck Yourself,Action,Petite Games,Petite Games,Unreleased,"October 20, 2016",Unreleased,"October 20, 2016"
Super Hero Math,"Puzzles, strategy",Skunk Software,Skunk Software,Unreleased,"September 1, 2016",Unreleased,Unreleased
Super Mario 3D World,Platform,Nintendo EAD1-Up Studio,Nintendo,"November 21, 2013","November 22, 2013","November 30, 2013","November 29, 2013"
Super Mario Maker,Level editorplatform,Nintendo EAD,Nintendo,"September 10, 2015","September 11, 2015","September 12, 2015","September 11, 2015"
Super Meat Boy,Platform,Team Meat,Team Meat,Unreleased,"May 12, 2016","May 12, 2016","May 12, 2016"
Super Robo Mouse,"Action, adventure",RCMADIAX,RCMADIAX,"July 20, 2016","April 7, 2016","April 7, 2016","April 7, 2016"
Super Smash Bros. for Wii U,Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,"December 6, 2014","November 21, 2014","November 29, 2014","November 28, 2014"
Super Toy Cars,Racing,Eclipse Games,Eclipse Games,"April 8, 2015","July 24, 2014",Unreleased,"July 24, 2014"
Super Ultra Star Shooter,"Action, arcade",Ultra Dolphin Revolution,Ultra Dolphin Revolution,Unreleased,"September 28, 2017",Unreleased,"September 21, 2017"
Surfin' Sam: Attack of the Aqualites,"Action, adventure",Slyon Studios,Slyon Studios,Unreleased,"August 11, 2016",Unreleased,Unreleased
Suspension Railroad Simulator,Simulation,Joindots,Joindots,Unreleased,"April 23, 2015",Unreleased,"March 26, 2015"
Swap Blocks,Puzzle,WizByte Games,WizByte Games,Unreleased,"June 1, 2017",Unreleased,"October 19, 2017"
Swap Fire,First-person shooter,Midnight Status,Midnight Status,Unreleased,"November 18, 2016",Unreleased,Unreleased
The Swapper,"Platform, puzzle",Facepalm GamesCurve Digital,JP: NintendoWW: Facepalm Games,"April 2, 2015","November 6, 2014",Unreleased,"November 6, 2014"
Sweetest Thing,Puzzle,Herrero,Herrero,Unreleased,"May 19, 2016",Unreleased,"May 5, 2016"
The Swindle,"Platform, action, stealth",Size Five Games,Curve Digital,Unreleased,"September 10, 2015",Unreleased,"September 10, 2015"
Swords & Soldiers,Real-time strategy,Two Tribes,Two Tribes,"November 23, 2015","May 22, 2014",Unreleased,"May 22, 2014"
Swords & Soldiers II,Real-time strategy,Ronimo Games,Ronimo Games,"December 9, 2015","May 21, 2015",Unreleased,"May 21, 2015"
Tabletop Gallery,"Puzzle, strategy",RCMADIAX,RCMADIAX,"April 28, 2015","January 7, 2016",Unreleased,"April 16, 2015"
Tachyon Project,Twin-stick shooter,Eclipse Games,Eclipse Games,"August 23, 2017","May 12, 2016",Unreleased,"March 31, 2016"
Tadpole Treble,"Action, adventure",Bitfinity,Bitfinity,Unreleased,"August 11, 2016",Unreleased,Unreleased
Taiko no Tatsujin: Atsumete ☆ Tomodachi Daisakusen!,Rhythm,Bandai Namco Studios,Bandai Namco Games,"November 26, 2015",Unreleased,Unreleased,Unreleased
Taiko no Tatsujin: Tokumori!,Rhythm,Bandai Namco Studios,Bandai Namco Games,"November 20, 2014",Unreleased,Unreleased,Unreleased
Taiko no Tatsujin: Wii U Version,Rhythm,Namco Bandai Studios,Namco,"November 21, 2013",Unreleased,Unreleased,Unreleased
Tallowmere,Action,Chris McFarland,JP: TeyonNA: Chris McFarland,"August 2, 2017","September 1, 2016",Unreleased,Unreleased
Tank SP,Action,Arc System Works,Arc System Works,"July 30, 2014",Unreleased,Unreleased,Unreleased
Tank! Tank! Tank!,Action,Namco Bandai Studios,Namco Bandai Games,"February 21, 2013","November 18, 2012","November 30, 2012","November 30, 2012"
Tap Tap Arcade,Arcaderacingstrategy,RCMADIAX,RCMADIAX,Unreleased,"February 18, 2016","April 28, 2016","April 28, 2016"
Tap Tap Arcade 2,Arcaderacingstrategy,RCMADIAX,RCMADIAX,Unreleased,"July 7, 2016","July 7, 2016","July 7, 2016"
Tekken Tag Tournament 2: Wii U Edition,Fighting,Namco Bandai Studios,Namco Bandai Games,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Temple of Yog,Roguelikeadventure,ChudChud Industries,ChudChud Industries,Unreleased,"December 16, 2015",Unreleased,"January 7, 2016"
Tengami,Point-and-click adventure,Nyamyam,Nyamyam,Unreleased,"November 13, 2014",Unreleased,"November 13, 2014"
Terraria,Action-adventure,Re-Logic,505 Games,"September 15, 2016","June 16, 2016","June 23, 2016","June 24, 2016"
Teslagrad,Puzzleplatform,Rain Games,Rain Games,"March 11, 2015","September 11, 2014","September 11, 2014","May 8, 2015"
Teslapunk,Action,klutzGames,klutzGames,"January 25, 2017","December 8, 2016",Unreleased,"December 15, 2016"
Test Your Mind,Puzzlesstrategy,XenoHorizon,XenoHorizon,Unreleased,"November 12, 2015",Unreleased,"December 15, 2016"
Tested with Robots!,Puzzle platformer,M.R. Games,M.R. Games,Unreleased,Unreleased,Unreleased,"December 11, 2014"
Tetrobot and Co.,Puzzle,Swing Swing Submarine,JP: Beyond InteractiveWW: Neko Entertainment,"July 22, 2015","October 30, 2014",Unreleased,"October 30, 2014"
Tetraminos,Puzzlesstrategy,Sanuk Games,Sanuk Games,Unreleased,"September 8, 2016",Unreleased,"September 1, 2016"
The First Skunk Bundle,"Action, adventure",Skunk Software,Skunk Software,Unreleased,"September 1, 2016",Unreleased,Unreleased
Thomas Was Alone,Puzzle platformer,Mike Bithell,Curve Digital,Unreleased,"November 25, 2014",Unreleased,"November 25, 2014"
Tilelicious: Delicious Tiles,Puzzle,BattleLine Games,BattleLine Games,Unreleased,"April 16, 2015",Unreleased,Unreleased
Tiny Galaxy!,Platform,Arcane Pixel Games,Arcane Pixel Games,Unreleased,"July 16, 2015",Unreleased,Unreleased
Tiny Thief,Point-and-click adventure,Rovio Entertainment,Nintendo,"November 23, 2015",Unreleased,Unreleased,Unreleased
Titans Tower,Arcadepuzzlestrategy,RCMADIAX,RCMADIAX,Unreleased,"September 22, 2016","September 22, 2016","September 22, 2016"
TNT Racers: Nitro Machines Edition,Racing,Keen Games,Keen Games,Unreleased,"October 3, 2013",Unreleased,"September 5, 2013"
Toby: The Secret Mine,"Puzzles, adventure",Lukas Navratil,Headup Games,Unreleased,"January 19, 2017","January 19, 2017","January 19, 2017"
Togabito no Senritsu,Visual Novel,Kemco,Kemco,"October 2, 2013",Unreleased,Unreleased,Unreleased
Toki Tori,"Puzzle, platform",Two Tribes,Two Tribes,Unreleased,"November 7, 2013","November 7, 2013","November 7, 2013"
Toki Tori 2+,"Platform, puzzle",Two Tribes,JP: Rainy FrogWW: Two Tribes,"September 3, 2014","April 4, 2013","April 4, 2013","April 4, 2013"
Tomeling in Trouble,Actionarcadestrategy,HullBreach Studios,HullBreach Studios,Unreleased,"November 2, 2017",Unreleased,Unreleased
Tokyo Mirage Sessions ♯FE,Role-playing,AtlusIntelligent Systems,Nintendo,"December 26, 2015","June 24, 2016","June 25, 2016","June 24, 2016"
Tom Clancy's Splinter Cell: Blacklist,Action-adventurestealth,Ubisoft TorontoUbisoft Shanghai,Ubisoft,"September 5, 2013","August 20, 2013","August 22, 2013","August 23, 2013"
Toon Tanks,Action,Petite Games,Petite Games,Unreleased,"December 25, 2014",Unreleased,"July 21, 2016"
Toon War,"Action, adventure",Lemondo Games,Lemondo Games,Unreleased,"February 1, 2018",Unreleased,"March 15, 2018"
TorqueL,Action,Full Power Side Attack,Full Power Side Attack,"November 9, 2016",Unreleased,Unreleased,Unreleased
Toss n Go,Strategy,RCMADIAX,RCMADIAX,"April 28, 2015","December 18, 2014",Unreleased,Unreleased
Totem Topple,Tower defense,Crystalline Green,Crystalline Green,Unreleased,"November 19, 2015",Unreleased,"November 19, 2015"
Toto Temple Deluxe,Action,Juicy Beast Studio,Juicy Beast Studio,Unreleased,"October 1, 2015",Unreleased,"October 1, 2015"
Touch Battle Tank SP,"Action, shoot 'em up",Agetec,Silver Star,"July 30, 2014",Unreleased,Unreleased,Unreleased
Touch Selections,Action,RCMADIAX,RCMADIAX,Unreleased,"September 8, 2016","September 8, 2016","September 8, 2016"
Transformers Prime: The Game,Beat 'em up,Now Production,Activision,Unreleased,"November 18, 2012","November 30, 2012","November 30, 2012"
Transformers: Rise of the Dark Spark,Third-person shooter,Edge of Reality,Activision,Unreleased,"June 24, 2014","June 24, 2014","June 24, 2014"
Trine: Enchanted Edition,"Platform, puzzle, action role-playing",Frozenbyte,Frozenbyte,Unreleased,"March 12, 2015",Unreleased,"March 26, 2015"
Trine 2: Director's Cut,"Platform, puzzle, action role-playing",Frozenbyte,JP: NintendoWW: Frozenbyte,"January 22, 2014","November 18, 2012","January 31, 2013","November 30, 2012"
Tri-Strip,Puzzle,Sc0tt Games,Form Up Studios,Unreleased,"February 5, 2015",Unreleased,Unreleased
Triple Breakout,Arcade,nuGAME,nuGAME,Unreleased,"May 4, 2017",Unreleased,"May 4, 2017"
Tumblestone,Puzzle,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,Unreleased,"July 14, 2016","July 14, 2016","July 14, 2016"
Turbo: Super Stunt Squad,Action,Monkey Bar Games,D3 Publisher,Unreleased,"July 16, 2013","September 12, 2013","October 11, 2013"
Turtle Tale,Platform,Saturnine Games,Saturnine Games,Unreleased,"October 9, 2014","February 5, 2016","October 9, 2014"
Twin Robots,"Action, adventure",Ratalaika Games,Ratalaika Games,Unreleased,"June 16, 2016",Unreleased,"June 16, 2016"
Twisted Fusion,Platform,Leuvision,Leuvision,Unreleased,"November 3, 2016",Unreleased,"November 3, 2016"
Typoman,"Platform, puzzle",Brainseed Factory,Headup Games,Unreleased,"November 19, 2015",Unreleased,"November 19, 2015"
U Host,Trivia,Bear Box Media,Bear Box Media,Unreleased,"March 17, 2016",Unreleased,"March 3, 2016"
Ultratron,Multidirectional shooter,Puppygames,Curve Digital,Unreleased,"May 14, 2015",Unreleased,"May 14, 2015"
Unalive,Role-playing,RandomSpin,RandomSpin,Unreleased,"April 26, 2018",Unreleased,"May 10, 2018"
Underground,Adventurepuzzle,Grendel Games,Grendel Games,Unreleased,"April 2, 2015",Unreleased,"January 8, 2015"
Unepic,Platformrole-playing,EnjoyUp Games,EnjoyUp Games,Unreleased,"January 16, 2014",Unreleased,"January 23, 2014"
Use Your Words,Puzzle,Smiling Buddha Games,Screenwave Media,Unreleased,"April 27, 2017",Unreleased,"April 27, 2017"
uWordsmith,Puzzle,ChudChud Industries,ChudChud Industries,Unreleased,"January 15, 2015",Unreleased,Unreleased
Vaccine,Action-adventure,Rainy Night Creations,Rainy Night Creations,"May 31, 2017","February 23, 2017",Unreleased,"February 23, 2017"
Vector Assault,Shoot 'em up,WizByte Games,WizByte Games,Unreleased,"May 21, 2015",Unreleased,Unreleased
Vektor Wars,First-person shooteraction,Super Icon,Super Icon,Unreleased,"July 28, 2016",Unreleased,"September 8, 2016"
The Voice: I Want You,Music,Activision,Activision,Unreleased,"October 21, 2014",Unreleased,Unreleased
Volcanic Field 2,Actionadventure,Slyon Studios,Slyon Studios,Unreleased,"February 25, 2016",Unreleased,Unreleased
Volgarr the Viking,Action platformer,Crazy Viking Studios,Crazy Viking Studios,Unreleased,"October 12, 2017",Unreleased,"October 5, 2017"
VRog,Actionarcade,ByteRockers’ Games,ByteRockers’ Games,Unreleased,"March 16, 2017",Unreleased,"October 6, 2016"
The Walking Dead: Survival Instinct,First-person shooter,Terminal Reality,Activision,Unreleased,"March 19, 2013","March 21, 2013","March 22, 2013"
Wall Ball,Actionpuzzlestrategy,RCMADIAX,RCMADIAX,Unreleased,"February 16, 2017","February 23, 2017","February 23, 2017"
Warriors Orochi 3 Hyper,Hack and slash,Tecmo Koei,Tecmo Koei,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Watch Dogs,Action-adventureopen worldstealth,Ubisoft MontrealUbisoft Bucharest,Ubisoft,"December 4, 2014","November 18, 2014","November 20, 2014","November 21, 2014"
Wheel of Fortune,Trivia,Pipeworks Software,THQ,Unreleased,"December 14, 2012",Unreleased,Unreleased
Whispering Willows,Adventure,Night Light Interactive,Akupara Games,Unreleased,"January 20, 2020",Unreleased,"October 8, 2015"
Wicked Monsters Blast! HD Plus,Partyshooter,Corecell Technology,PQube,Unreleased,"January 14, 2016",Unreleased,"October 15, 2015"
Wii Fit U,Fitness,Nintendo EAD,Nintendo,"October 31, 2013","November 1, 2013","November 2, 2013","November 1, 2013"
Wii Karaoke U,Music,"Tose Co., Ltd.",Nintendo,"December 8, 2012",Unreleased,Unreleased,"October 4, 2013"
Wii Party U,Party,NDcubeNintendo SPD,Nintendo,"October 31, 2013","October 25, 2013","October 26, 2013","October 25, 2013"
Wii Sports Club,Sports,Bandai Namco StudiosNintendo EAD,Nintendo,"October 30, 2013","November 7, 2013","November 7, 2013","November 7, 2013"
Wind-up Knight 2,Action,Robot Invader,Robot Invader,"April 28, 2015","August 13, 2015",Unreleased,Unreleased
Wings of Magloryx,Arcadepuzzlestrategy,Arbelos Interactive,Arbelos Interactive,Unreleased,"September 22, 2016",Unreleased,Unreleased
WinKings,First-person shooterpartyplatformer,Lemondo Games,Lemondo Games,Unreleased,"May 4, 2017",Unreleased,"May 11, 2017"
Wipeout 3,Action,Activision,Activision,Unreleased,"November 18, 2012",Unreleased,Unreleased
Wipeout: Create & Crash,Action,Behaviour Interactive,Activision,Unreleased,"October 15, 2013",Unreleased,Unreleased
Woah Dave!,Platform,MiniVisions,Choice Provisions,Unreleased,"August 20, 2015",Unreleased,Unreleased
The Wonderful 101,Action,Platinum GamesNintendo SPD,Nintendo,"August 24, 2013","September 15, 2013","August 24, 2013","August 23, 2013"
Wooden Sen'SeY,Actionplatform,Upper Byte,Neko Entertainment,"January 21, 2015","July 24, 2014",Unreleased,"July 24, 2014"
Word Party,Party,Lightwood Games,Lightwood Games,Unreleased,"November 12, 2015",Unreleased,"November 12, 2015"
Word Logic by Powgi,Puzzle,Lightwood Games,Lightwood Games,Unreleased,"August 18, 2016","August 18, 2016","August 18, 2016"
Word Puzzles by Powgi,Puzzle,Lightwood Games,Lightwood Games,Unreleased,"February 11, 2016",Unreleased,"January 28, 2016"
Word Search by Powgi,Puzzle,Lightwood Games,Lightwood Games,Unreleased,"April 16, 2015",Unreleased,"April 16, 2015"
WordsUp! Academy,Puzzles,CoderChild,CoderChild,Unreleased,"February 9, 2017",Unreleased,"February 9, 2017"
A World of Keflings,City-building,NinjaBee,NinjaBee,Unreleased,"November 13, 2014",Unreleased,"November 13, 2014"
Xavier,Platform,Prison Lab,Prison Lab,Unreleased,"November 13, 2014",Unreleased,Unreleased
Xenoblade Chronicles X,Action role-playing,Monolith Soft,Nintendo,"April 29, 2015","December 4, 2015","December 5, 2015","December 4, 2015"
Xeodrifter,"Action, adventure",Renegade Kid,Renegade Kid,Unreleased,"July 30, 2015",Unreleased,Unreleased
XType Plus,Shoot 'em up,PhobosLab,PhobosLab,"January 7, 2015","August 14, 2014",Unreleased,"July 31, 2014"
Y.A.S.G,"Action, arcade",LSA Games,LSA Games,Unreleased,"February 9, 2017",Unreleased,"April 6, 2017"
Yakuman Hō-ō,Board game,Nintendo,Nintendo,"February 18, 2015",Unreleased,Unreleased,Unreleased
Year Walk,Adventure,SimogoDakko Dakko,Simogo,"November 23, 2015","September 17, 2015","September 17, 2015","September 17, 2015"
Yo-kai Watch Dance: Just Dance Special Version,Rhythm,UbisoftLevel-5,UbisoftLevel-5,"December 5, 2015",Unreleased,Unreleased,Unreleased
Yoshi's Woolly World,Platform,Good-Feel,Nintendo,"July 16, 2015","October 16, 2015","June 25, 2015","June 26, 2015"
Your Shape: Fitness Evolved 2013,Fitness,Ubisoft,Ubisoft,Unreleased,"November 18, 2012","November 30, 2012","November 30, 2012"
ZaciSa's Last Stand,Tower defense,ZeNfA Productions,ZeNfA Productions,Unreleased,"July 3, 2014","January 8, 2016","August 20, 2015"
Zen Pinball 2,Pinball,Zen Studios,Zen Studios,Unreleased,"March 21, 2013",Unreleased,"January 31, 2013"
Ziggurat,First-person shooterdungeon crawl,Milkstone Studios,Milkstone Studios,Unreleased,"August 18, 2016",Unreleased,"June 30, 2016"
Zombeer,"Action, first-person shooter",Padaone Games,Padaone Games,Unreleased,"April 13, 2017",Unreleased,Unreleased
Zombie Brigade: No Brain No Gain,Action,Cypronia,Cypronia,Unreleased,"January 5, 2017",Unreleased,"December 22, 2016"
Zombie Defense,Tower defense,Teyon,Teyon,"August 5, 2015","September 17, 2015",Unreleased,"September 3, 2015"
ZombiU,Survival horror,Ubisoft Montpellier,Ubisoft,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Zumba Fitness: World Party,Fitness,Zoë Mode,JP: Hamster CorporationWW: Majesco Entertainment,"September 4, 2014","November 5, 2013","November 22, 2013","November 22, 2013"
